timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
1733515200000,101439.99000000,101898.99000000,101056.00000000,101360.00000000,1587.73777000,1733518799999,161297841.74293880,245160,664.45187000,67513278.92875450,0
1733518800000,101360.00000000,101449.99000000,100290.90000000,100372.01000000,1134.08609000,1733522399999,114380423.26086160,190085,420.56332000,42417550.40530090,0
1733522400000,100372.01000000,100707.37000000,100357.68000000,100504.00000000,695.79652000,1733525999999,69951647.13564600,108523,369.36253000,37132558.66844300,0
1733526000000,100504.00000000,100573.99000000,99053.03000000,99740.84000000,1999.91146000,1733529599999,199623429.20223370,277245,1021.95900000,101986599.45490950,0
1733529600000,99740.84000000,100406.15000000,99529.41000000,100272.01000000,912.55455000,1733533199999,91313260.48242080,169591,442.61196000,44284098.12837140,0
1733533200000,100272.01000000,100428.00000000,99824.62000000,100044.31000000,666.65588000,1733536799999,66731138.61905220,128049,282.08621000,28237682.10692650,0
1733536800000,100044.31000000,100169.42000000,99868.00000000,99930.01000000,423.24483000,1733540399999,42344220.35879000,93173,184.72701000,18482261.53652060,0
1733540400000,99930.01000000,99930.01000000,99285.71000000,99299.63000000,800.94309000,1733543999999,79716101.75481870,119717,322.63534000,32106288.75442680,0
1733544000000,99299.64000000,99666.31000000,99025.01000000,99494.57000000,859.54997000,1733547599999,85423258.68348190,125578,311.84141000,30989978.76352620,0
1733547600000,99494.58000000,99643.96000000,98844.00000000,99155.98000000,909.81086000,1733551199999,90307855.93972330,114689,310.57589000,30823045.87997640,0
1733551200000,99155.99000000,99393.60000000,99060.12000000,99336.27000000,808.71363000,1733554799999,80258777.77717450,101446,421.65063000,41847965.29113880,0
1733554800000,99336.28000000,99494.19000000,99108.00000000,99405.20000000,675.92852000,1733558399999,67123948.53511710,119976,289.13700000,28712336.16594850,0
1733558400000,99405.20000000,99561.44000000,99260.00000000,99414.76000000,498.53222000,1733561999999,49574676.22317440,103294,234.92662000,23361896.21432140,0
1733562000000,99414.76000000,99821.83000000,99414.75000000,99676.48000000,558.38011000,1733565599999,55619382.32617220,123133,323.18237000,32190591.36903340,0
1733565600000,99676.48000000,99708.43000000,99440.00000000,99529.50000000,795.39219000,1733569199999,79175280.67839910,81696,374.91259000,37318179.35998130,0
