timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
1735243200000,96102.24000000,96114.46000000,95444.44000000,95542.17000000,248.82579000,1735244999999,23812237.20838280,90733,115.27190000,11028996.94558060,0
1735245000000,95542.17000000,95873.50000000,95400.00000000,95589.60000000,381.85449000,1735246799999,36501972.05999740,99200,180.99052000,17301265.02738270,0
1735246800000,95589.60000000,95800.00000000,95302.00000000,95746.85000000,374.61875000,1735248599999,35793243.91950920,87850,208.82336000,19953736.18667320,0
1735248600000,95746.85000000,95933.74000000,95571.51000000,95812.63000000,223.03006000,1735250399999,21356743.85507050,55537,101.17466000,9688722.63679220,0
1735250400000,95812.63000000,95963.86000000,95706.39000000,95766.15000000,156.89865000,1735252199999,15038152.10709900,34756,64.75175000,6206144.41206300,0
1735252200000,95766.15000000,95940.14000000,95625.00000000,95821.92000000,169.40196000,1735253999999,16221933.08812650,32049,75.76308000,7255672.89695740,0
1735254000000,95821.92000000,95887.99000000,95372.32000000,95675.99000000,329.94497000,1735255799999,31545358.30674750,77742,137.68677000,13162530.93882870,0
1735255800000,95676.00000000,95856.71000000,95500.00000000,95791.60000000,213.81053000,1735257599999,20471176.24792370,52944,100.60732000,9631522.98414840,0
1735257600000,95791.60000000,95930.39000000,95401.03000000,95712.77000000,411.96851000,1735259399999,39414098.15989570,78364,187.71877000,17958780.11089370,0
1735259400000,95712.76000000,95853.17000000,95453.13000000,95794.56000000,215.73702000,1735261199999,20653251.02638670,59785,100.98489000,9668377.88843130,0
1735261200000,95794.55000000,95922.49000000,95575.07000000,95682.59000000,285.91510000,1735262999999,27393873.44117790,60437,129.61324000,12419247.61856920,0
1735263000000,95682.59000000,96250.00000000,95682.58000000,95917.03000000,440.42383000,1735264799999,42289539.00213670,95908,244.66107000,23484360.18855030,0
1735264800000,95917.02000000,96443.68000000,95850.01000000,96443.27000000,544.90383000,1735266599999,52442150.50343420,102545,345.28226000,33225617.42066210,0
1735266600000,96443.27000000,96443.28000000,95718.75000000,96073.77000000,428.14705000,1735268399999,41151518.52336460,89071,136.65746000,13124583.18632040,0
1735268400000,96073.77000000,96350.82000000,95982.51000000,96234.94000000,222.49324000,1735270199999,21408656.89189300,78601,90.15452000,8673151.14444960,0
1735270200000,96234.94000000,96443.00000000,96114.45000000,96417.84000000,385.65552000,1735271999999,37138365.08461810,81262,146.89359000,14149095.41614310,0
1735272000000,96417.84000000,96575.00000000,96289.95000000,96375.28000000,508.97717000,1735273799999,49104625.78974220,83636,292.60778000,28232269.91138610,0
1735273800000,96375.28000000,96595.98000000,96229.39000000,96300.00000000,383.69391000,1735275599999,36996103.42687840,82808,237.48775000,22899488.01355260,0
1735275600000,96300.01000000,96333.77000000,96001.00000000,96021.35000000,387.35144000,1735277399999,37238376.54460010,74002,160.06009000,15386835.33764820,0
1735277400000,96021.35000000,96265.07000000,96001.00000000,96238.89000000,236.39825000,1735279199999,22727464.58344120,62401,132.78722000,12767023.42858160,0
1735279200000,96238.89000000,96391.54000000,96107.28000000,96343.14000000,170.42072000,1735280999999,16406382.33966990,60465,82.37655000,7930157.59767810,0
1735281000000,96343.13000000,96594.44000000,96242.32000000,96594.16000000,219.13076000,1735282799999,21135696.82752860,61554,111.42326000,10747661.03087010,0
1735282800000,96594.17000000,96604.24000000,95526.32000000,95549.65000000,496.49115000,1735284599999,47648351.20948630,111327,187.62910000,17994785.14086250,0
1735284600000,95549.65000000,95569.58000000,94646.03000000,95104.76000000,2198.06562000,1735286399999,208987213.59052660,266535,1040.85316000,98961009.35892110,0
1735286400000,95104.76000000,96286.02000000,95104.76000000,96080.13000000,944.92216000,1735288199999,90496511.18886200,202131,530.69018000,50815904.87414220,0
1735288200000,96080.14000000,96395.00000000,95695.52000000,95724.02000000,474.15592000,1735289999999,45547396.47603340,128609,184.67287000,17744430.26514020,0
1735290000000,95724.01000000,97544.58000000,95674.00000000,96868.74000000,1896.43110000,1735291799999,184049204.93911040,315975,1125.02100000,109157044.05710340,0
1735291800000,96868.74000000,97034.93000000,96659.86000000,96774.13000000,449.00380000,1735293599999,43487376.30749440,142903,221.00602000,21405909.32656960,0
1735293600000,96774.14000000,97029.25000000,96479.09000000,96585.34000000,343.80215000,1735295399999,33272156.64020600,109771,191.94784000,18577903.10578860,0
1735295400000,96585.34000000,96656.62000000,96195.20000000,96605.46000000,388.27360000,1735297199999,37432450.17407370,130590,205.41339000,19805142.17276310,0
1735297200000,96605.46000000,96656.63000000,96377.77000000,96561.43000000,186.54460000,1735298999999,18009287.65906420,81662,103.28455000,9972125.25250110,0
1735299000000,96561.44000000,96953.71000000,96438.47000000,96952.38000000,280.37524000,1735300799999,27110789.77855710,83926,168.35091000,16279913.16922570,0
1735300800000,96952.38000000,97035.80000000,96688.88000000,96733.46000000,367.40499000,1735302599999,35592144.40916040,99270,161.91298000,15686486.36780040,0
1735302600000,96733.47000000,96900.00000000,96617.64000000,96686.75000000,249.58264000,1735304399999,24140609.76985450,79572,149.71859000,14480016.09635010,0
1735304400000,96686.74000000,96686.74000000,96229.66000000,96423.20000000,547.85591000,1735306199999,52815311.00677940,111445,192.17760000,18531809.01601550,0
1735306200000,96423.21000000,96578.56000000,96265.06000000,96407.99000000,244.03339000,1735307999999,23535456.97549560,131844,121.84985000,11750662.71811200,0
1735308000000,96407.99000000,96480.00000000,96093.21000000,96348.00000000,355.56095000,1735309799999,34236472.13947360,133534,153.91442000,14821173.17857890,0
1735309800000,96348.00000000,96380.71000000,95161.17000000,95691.99000000,1161.18330000,1735311599999,111027364.98161330,277303,553.34990000,52899416.13805950,0
1735311600000,95692.00000000,95718.13000000,94525.63000000,94680.02000000,1472.17743000,1735313399999,139906848.27613290,320737,607.09128000,57680698.60193380,0
1735313400000,94680.02000000,94790.88000000,94011.11000000,94573.75000000,2027.93475000,1735315199999,191249628.63848640,316519,913.22558000,86121363.52351090,0
1735315200000,94573.75000000,94684.14000000,94150.00000000,94659.98000000,1008.14022000,1735316999999,95179599.79606350,252269,504.47896000,47629917.51984170,0
1735317000000,94659.98000000,94996.16000000,94101.02000000,94165.92000000,627.28859000,1735318799999,59258405.04546820,154385,341.73564000,32279358.87887260,0
1735318800000,94165.92000000,94354.82000000,93500.01000000,93766.36000000,1498.57120000,1735320599999,140694465.74569860,198906,590.52201000,55442716.07696880,0
1735320600000,93766.37000000,94319.79000000,93752.55000000,94291.30000000,813.46657000,1735322399999,76536252.26375720,143524,548.80987000,51635793.47805510,0
1735322400000,94291.30000000,94661.04000000,94212.30000000,94572.97000000,350.32620000,1735324199999,33079857.40608970,103288,206.74076000,19522261.51038290,0
1735324200000,94572.98000000,94770.15000000,94352.94000000,94566.06000000,406.12906000,1735325999999,38426204.56279480,86787,213.12556000,20166391.49121100,0
1735326000000,94566.05000000,94656.20000000,94252.00000000,94334.90000000,293.71510000,1735327799999,27732428.67168650,88627,136.57088000,12895604.28999880,0
1735327800000,94334.89000000,94810.07000000,94255.68000000,94750.00000000,281.34023000,1735329599999,26608732.70552180,75118,166.60325000,15757342.22279080,0
1735329600000,94750.11000000,94778.43000000,94313.82000000,94562.17000000,343.68762000,1735331399999,32481227.17690270,70371,192.08030000,18151664.20694590,0
1735331400000,94562.17000000,94700.00000000,94340.00000000,94588.12000000,398.66783000,1735333199999,37684482.12748530,90753,217.51759000,20560257.01511500,0
1735333200000,94588.12000000,94823.09000000,94472.39000000,94697.55000000,188.32001000,1735334999999,17829447.35213290,61820,85.28192000,8073969.65509910,0
