timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
1692921600000,26180.05000000,26314.05000000,25777.15000000,26101.77000000,49875.20310000,1693180799999,1299200972.68498880,1289940,24111.05186000,628085054.90953860,0
1693180800000,26101.78000000,28142.85000000,25864.50000000,27299.99000000,132392.87991000,1693439999999,3583421441.09757480,2350432,65573.53332000,1775396615.90463780,0
1693440000000,27299.99000000,27587.51000000,25333.75000000,25869.51000000,108315.73155000,1693699199999,2839630747.66828010,2393597,52194.01843000,1368371617.09012160,0
1693699200000,25869.52000000,26135.00000000,25562.62000000,25792.10000000,60575.46613000,1693958399999,1565527288.27230750,1659978,28687.19196000,741484457.92249800,0
1693958400000,25792.11000000,26445.50000000,25372.51000000,25910.50000000,83949.78424000,1694217599999,2173870726.81797830,1915083,40481.79665000,1048394613.50754080,0
1694217600000,25910.50000000,26033.66000000,24901.00000000,25162.52000000,71401.21191000,1694476799999,1825058817.68281940,1712949,33624.85664000,859437935.18845820,0
1694476800000,25162.53000000,26860.49000000,25131.48000000,26522.73000000,126378.38540000,1694735999999,3305098238.20344400,2561214,62447.97335000,1633110895.97786060,0
1694736000000,26522.73000000,26888.00000000,26224.00000000,26527.51000000,53186.32997000,1694995199999,1410796852.01982510,1657285,25469.19926000,675648292.17202650,0
1694995200000,26527.50000000,27483.57000000,26377.35000000,27125.00000000,113398.17310000,1695254399999,3067525679.14755220,2704069,56386.30249000,1525376143.05514730,0
1695254400000,27125.01000000,27159.60000000,26377.70000000,26575.96000000,62115.75842000,1695513599999,1655973719.68851840,1812282,29750.07611000,793125270.70440080,0
1695513600000,26575.97000000,26738.54000000,25990.46000000,26221.67000000,60468.21227000,1695772799999,1589838802.79678400,2116260,29015.40693000,762947775.71602200,0
1695772800000,26221.68000000,27308.48000000,26112.06000000,26906.96000000,107768.17688000,1696031999999,2880045170.11130840,2977274,53686.30302000,1435153333.28679970,0
1696032000000,26906.96000000,28580.00000000,26886.31000000,27494.51000000,94478.58016000,1696291199999,2621007662.16532210,2882659,47460.83966000,1317040397.00986310,0
1696291200000,27494.51000000,28120.39000000,27160.50000000,27410.39000000,89426.60374000,1696550399999,2464138794.72953770,3601155,43625.73117000,1202248383.73180010,0
1696550400000,27410.39000000,28295.00000000,27175.94000000,27917.05000000,71025.65023000,1696809599999,1975524624.82083760,2791053,34699.67366000,965109385.86923010,0
1696809600000,27917.06000000,27987.93000000,26538.66000000,26875.52000000,91661.03728000,1697068799999,2503338944.57437980,3495276,43388.73060000,1184861835.58834450,0
1697068800000,26875.52000000,27130.00000000,26555.00000000,26852.48000000,57961.66187000,1697327999999,1554521883.79833920,2619241,26717.36551000,716574594.10219760,0
1697328000000,26852.48000000,30000.00000000,26808.25000000,28395.91000000,132102.36147000,1697587199999,3714201260.06311840,4318091,67534.80215000,1898752771.15535310,0
1697587200000,28395.91000000,30207.55000000,28100.66000000,29669.04000000,127480.07690000,1697846399999,3692168734.73612780,4461239,63484.14112000,1838846447.70844940,0
1697846400000,29669.05000000,34741.91000000,29464.77000000,33069.99000000,143883.70706000,1698105599999,4447439359.19748290,5000374,72836.82375000,2253149903.14137520,0
